dd846834-15bc-46ba-9440-c8b90743827f,Monitor,in quam fringilla rhoncus,48.82
957514a2-5b9d-4b21-996b-e8095a61aabc,Mouse,eget semper rutrum,36.12
6c6443bc-01cd-4d7e-a7ca-c62f9e0c2f28,Keyboard,id mauris vulputate,37.12
5372c794-9435-4f6f-95ed-8c468e1d8b1a,Mousepad,tristique est et tempus semper,15.66
ed47523f-4b09-40e6-92e0-81e3b03df939,Mac-mini,dictumst maecenas,47.25
74d07572-7c01-4457-8e08-c91b8e14ebc6,iMac,morbi odio odio elementum eu,58.28
99f142c9-c21d-4f0f-91d3-eef1f87aeb01,HDMI-cable,risus semper porta volutpat,17.36
695924d8-36ea-498b-aae5-22dd6ad8afd5,UPS,consectetuer eget,40.5
403b4d54-847d-45eb-9ead-ad9c52b23d28,Speakers,odio in,41.24
9c49e71c-ff30-487b-bb12-b35885548dd9,Extension-cord,felis fusce posuere felis sed,19.43
